Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,Autumn,Dhaka,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565
Rice,Summer,Dhaka,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783
Rice,Winter,Dhaka,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348
Rice,Monsoon,Chittagong,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335
Rice,Winter,Chittagong,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154
Rice,Summer,Chittagong,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444
Rice,Monsoon,Rajshahi,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429
Rice,Autumn,Barisal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222
Rice,Summer,Barisal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889
Rice,Winter,Barisal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556
Rice,Monsoon,Sylhet,4945.0,11518,1434.5875,488566.0,1434.05,2.46
Rice,Winter,Sylhet,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
Rice,Summer,Sylhet,5716.0,14863,1434.5875,564740.8,1657.64,2.55
Rice,Autumn,Dhaka,594979.0,520605,2354.4,58783925.2,172543.91,1.055652174
Rice,Summer,Dhaka,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391
Rice,Winter,Dhaka,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174
Rice,Monsoon,Comilla,41000.0,104249,2964.9,4050800.0,11890.0,2.54
Rice,Winter,Comilla,15439.0,46925,2964.9,1525373.2,4477.31,3.04
Rice,Monsoon,Chittagong,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741
Rice,Winter,Chittagong,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714
Rice,Summer,Chittagong,295830.0,951569,1260.8,29228004.0,85790.7,2.99375
Rice,Autumn,Khulna,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077
Rice,Summer,Khulna,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846
Rice,Winter,Khulna,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857
Rice,Monsoon,Rajshahi,105402.0,149742,6552.7,10413717.6,30566.58,1.51
Rice,Autumn,Barisal,425002.0,740688,2152.5,41990197.6,123250.58,1.751111111
Rice,Summer,Barisal,1450473.0,4921984,2152.5,143306732.4,420637.17,3.22
Rice,Winter,Barisal,4028620.0,7653780,2152.5,398027656.0,1168299.8,1.781666667
Rice,Autumn,Dhaka,557220.0,514156,2201.8,59137758.6,150449.4,1.094782609
Rice,Summer,Dhaka,294654.0,653783,2201.8,31271629.02,79556.58,1.990434783
